libelle_evenements,grande_categorie,code_categorie,Adresse,Numéro,categorie_nom,Nom de la structure,Code Postal,Ville,Lat,Lng,sous_categorie,refugie,asile,Sexe,family,Langues.1,Langues.2,Langues.3,code
 Formation français,formation-emploi,202,"102 Avenue Jean Lolive, 93500 Pantin, France",2899,FORMATION_EMPLOI,Bibliothèque Elsa Triolet,93500,Pantin,2.408386199999996,48.89213700000001,"Bibliothèque, Ordinateur, Wifi, Formation français, Formation français",True,True,mixte,True,français,,,93
 Accompagnement à l'emploi,formation-emploi,203,"102 Rue de La Jonquière, Paris, France",7018,FORMATION_EMPLOI,Centre Social Cefia,75017,Paris,2.317737099999931,48.8950962,"Formation français, Formation français, Activités, Activités, Activités, Activités, Ecrivain public, Accompagnement à l'emploi",True,True,mixte,False,français,,,75
 Accompagnement à l'emploi,formation-emploi,203,"103 Boulevard Jourdan, Paris, France",4896,FORMATION_EMPLOI,Espace Paris Jeunes Le Miroir,75014,Paris,2.3285077000000456,48.82236,"Soutien scolaire, Activités, Atelier numérique, Accompagnement social, Accompagnement à l'emploi, Wifi, Ordinateur",False,False,mixte,False,français,,,75
 Chantier d'insertion,formation-emploi,205,"11 Rue Maurice Bouchor, 75014 Paris, France",6036,FORMATION_EMPLOI,Régie de quartier Flora Tristan,75014,Paris,2.3103653000000577,48.8262028,"Chantier d'insertion, Activités",False,False,mixte,False,français,,,75
 Atelier numérique,activite,201,"11/15 Mail Federico Garcia Lorca, 93160 Noisy-le-Grand, France",5814,FORMATION_EMPLOI,PIMMS Pavé Neuf,93160,Noisy-le-Grand,2.5574903000000404,48.8391432,"Conseil administratif, Atelier numérique, Wifi, Ordinateur",True,True,mixte,False,français,,,93
 Soutien scolaire,formation-emploi,206,"111 Rue André Karman, Aubervilliers, France",5115,FORMATION_EMPLOI,Salle de quartier André Karman,93300,Aubervilliers,2.3848332000000028,48.9081818,"Ecrivain public, Conseil logement, Soutien scolaire, Activités",False,False,mixte,True,français,,,93
 Soutien scolaire,formation-emploi,206,"118 Rue Héron, 33000 Bordeaux, France",1941,FORMATION_EMPLOI,Le 4 de Bordeaux,33000,Bordeaux,-0.58174,44.830376,"Accueil de jour, Laverie, Douche, Restauration assise, Formation français, Soutien scolaire, Conseil administratif, Vêtements, Restauration assise",True,True,mixte,True,français,,,33
 Atelier numérique,activite,201,"119 Avenue Jean Jaurès, 93000 Bobigny, France",5706,FORMATION_EMPLOI,Epicerie Solidaire Wicasaya,93000,Bobigny,2.439624600000002,48.9044945,"Epicerie Sociale, Activités, Vêtements, Atelier numérique, Conseil administratif",False,False,mixte,True,français,,,93
 Accompagnement à l'emploi,formation-emploi,203,"119 Rue du Mont-Cenis, Paris, France",7258,FORMATION_EMPLOI,Espace Paris Jeunes Mont-Cenis,75018,Paris,2.345857000000024,48.8954333,"Accompagnement social, Ordinateur, Accompagnement à l'emploi, Sport, Activités, Soutien scolaire, Wifi",False,False,mixte,False,français,,,75
 Soutien scolaire,formation-emploi,206,"119 Rue du Mont-Cenis, Paris, France",7258,FORMATION_EMPLOI,Espace Paris Jeunes Mont-Cenis,75018,Paris,2.345857000000024,48.8954333,"Accompagnement social, Ordinateur, Accompagnement à l'emploi, Sport, Activités, Soutien scolaire, Wifi",False,False,mixte,False,français,,,75
 Atelier numérique,activite,201,"12 Boulevard du Général Gallieni, Aulnay-sous-Bois, France",7701,FORMATION_EMPLOI,Bibliothèque Dumont,93600,Aulnay-sous-Bois,2.495746,48.9303436,"Bibliothèque, Ordinateur, Atelier numérique",False,False,mixte,True,français,,,93
 Accompagnement à l'emploi,formation-emploi,203,"12 Boulevard Poniatowski, 75012 Paris, France",7503,FORMATION_EMPLOI,Kodiko Paris,75012,Paris,2.389596799999936,48.828952,Accompagnement à l'emploi,True,False,mixte,False,français,,,75
 Accompagnement à l'emploi,formation-emploi,203,"12 Rue des Faussets, 33000 Bordeaux, France",6466,FORMATION_EMPLOI,Le Nom Lieu,33000,Bordeaux,-0.5704283000000032,44.84041260000001,"Accompagnement à l'emploi, Accompagnement à l'emploi, Atelier numérique, Psychologie",False,False,mixte,False,français,,,33
 Atelier numérique,activite,201,"12 Rue des Faussets, 33000 Bordeaux, France",6466,FORMATION_EMPLOI,Le Nom Lieu,33000,Bordeaux,-0.5704283000000032,44.84041260000001,"Accompagnement à l'emploi, Accompagnement à l'emploi, Atelier numérique, Psychologie",False,False,mixte,False,français,,,33
 Soutien scolaire,formation-emploi,206,"12 Rue Montgallet, 75012 Paris, France",23,FORMATION_EMPLOI,Antenne Montgallet,75012,Paris,2.386971000000017,48.8430072,"Accueil de jour, Soutien scolaire, Ecrivain public, Formation français",False,False,mixte,False,français,,,75
 Soutien scolaire,formation-emploi,206,"12 Rue Paul Doumer, Montreuil, France",2987,FORMATION_EMPLOI,Antenne Bel Pêche,93100,Montreuil,2.456339399999933,48.8604461,"Activités, Soutien scolaire",False,False,mixte,False,français,,,93
 Accompagnement à l'emploi,formation-emploi,203,"120 Cours Gambetta, Langon, France",8130,FORMATION_EMPLOI,D2C  Sud Gironde,33210,Langon,-0.2482452,44.5504905,Accompagnement à l'emploi,False,False,mixte,False,français,,,33
 Chantier d'insertion,formation-emploi,205,"120 Rue des Grands Champs, 75020 Paris, France",6206,FORMATION_EMPLOI,ACEPPRIF,75020,Paris,2.4082184999999754,48.8520125,Chantier d'insertion,False,False,mixte,False,français,,,75
 Accompagnement à l'emploi,formation-emploi,203,"126 rue d'Aubervilliers, 75019 Paris",45,FORMATION_EMPLOI,Maison Caritas La Chapelle Paris Nord,75018,Paris,2.3692075,48.8915689,"Accueil de jour, Accompagnement social, Accompagnement social, Permanence juridique, Accompagnement à l'emploi, Accompagnement à l'emploi, Formation français, Formation français, Activités",False,False,mixte,True,français,,,75
 Accompagnement à l'emploi,formation-emploi,203,"127 Avenue Emile Counord, 33300 Bordeaux, France",8128,FORMATION_EMPLOI,Association NQT,33300,Bordeaux,-0.5753574000000001,44.8601424,Accompagnement à l'emploi,False,False,mixte,False,français,,,33
 Accompagnement à l'emploi,formation-emploi,203,"127 Avenue Emile Counord, Bordeaux, France",6224,FORMATION_EMPLOI,PLIE,33300,Bordeaux,-0.5753574000000299,44.8601424,"Accompagnement à l'emploi, Accompagnement à l'emploi, Ordinateur",True,False,mixte,False,français,,,33
 Chantier d'insertion,formation-emploi,205,"128 Rue Legendre, 75017 Paris, France",6205,FORMATION_EMPLOI,ARITAS,75017,Paris,2.32233599999995,48.88878599999999,Chantier d'insertion,False,False,mixte,False,français,,,75
 Soutien scolaire,formation-emploi,206,"13 Avenue du Sauternais, Le Barp, France",6302,FORMATION_EMPLOI,AFL Outils,33114,Le Barp,-0.7476136999999881,44.5960737,"Conseil administratif, Permanence juridique, Soutien scolaire",False,False,mixte,True,français,,,33
 Soutien scolaire,formation-emploi,206,"130 Boulevard de Belleville, 75020 Paris, France",6313,FORMATION_EMPLOI,Scolarisation des mineurs isolés,75020,Paris,2.37753280000004,48.871954,"Formation français, Soutien scolaire, Conseil administratif",True,True,mixte,False,français,,,75
 Chantier d'insertion,formation-emploi,205,"13-17 Rue Louis Blanc, Paris, France",6032,FORMATION_EMPLOI,La maison du Canal,75010,Paris,2.3687161000000287,48.8789121,"Chantier d'insertion, Distribution alimentaire, Magasin solidaire",False,False,mixte,False,français,,,75
 Accompagnement à l'emploi,formation-emploi,203,"14 Rue Armand Moisant, Paris, France",7502,FORMATION_EMPLOI,Paris Point Emploi (PPE) 15ème,75015,Paris,2.317508500000031,48.8420536,Accompagnement à l'emploi,False,False,mixte,False,français,,,75
 Accompagnement à l'emploi,formation-emploi,203,"14 rue Armand-Moisant, 75015 Paris",286,FORMATION_EMPLOI,Espace Parisien pour l'Insertion (EPI) du 15ème - Moisant,75015,Paris,2.3175085,48.8420536,"Conseil administratif, Accompagnement à l'emploi, Accompagnement à l'emploi, Accompagnement social, Permanence juridique",False,False,mixte,False,français,,,75
 Atelier numérique,activite,201,"14 Rue de l'Épine Prolongée, Bagnolet, France",2958,FORMATION_EMPLOI,Centre Guy Toﬀoletti,93170,Bagnolet,2.42622270000004,48.863273,"Ordinateur, Soutien scolaire, Soutien scolaire, Formation français, Atelier numérique, Activités, Sport, Ecrivain public, Accompagnement social, Conseil administratif",False,False,mixte,True,français,,,93
 Soutien scolaire,formation-emploi,206,"14 Rue de l'Épine Prolongée, Bagnolet, France",2958,FORMATION_EMPLOI,Centre Guy Toﬀoletti,93170,Bagnolet,2.42622270000004,48.863273,"Ordinateur, Soutien scolaire, Soutien scolaire, Formation français, Atelier numérique, Activités, Sport, Ecrivain public, Accompagnement social, Conseil administratif",False,False,mixte,True,français,,,93
 Accompagnement à l'emploi,formation-emploi,203,"14 Rue de Rambervillers, 75012, Paris, France",5857,FORMATION_EMPLOI,Service RSA - Antenne Est,75012,Paris,2.4066037999999708,48.84130079999999,"Accompagnement social, Accompagnement à l'emploi",False,False,mixte,True,français,,,75
 Formation français,formation-emploi,202,"14 Rue des Cloys, 75018 Paris, France",2522,FORMATION_EMPLOI,Vestiboutique et Baby Boutique 18ème,75018,Paris,2.3406016000000136,48.8927342,"Magasin solidaire, Vêtements, Formation français",False,False,mixte,False,français,,,75
 Accompagnement à l'emploi,formation-emploi,203,"14 Rue des Reculettes, Paris, France",7011,FORMATION_EMPLOI,Espace Parisien pour l'Insertion (EPI) du 13ème,75013,Paris,2.351540999999997,48.8322135,"Conseil administratif, Accompagnement à l'emploi, Accompagnement social",False,False,mixte,False,français,,,75
 Accompagnement à l'emploi,formation-emploi,203,"14/18 Rue Auguste Perret, Paris, France",7013,FORMATION_EMPLOI,Point Paris Emploi (PPE) 13ème,75013,Paris,2.358893800000033,48.8249503,Accompagnement à l'emploi,False,False,mixte,False,français,,,75
 Accompagnement à l'emploi,formation-emploi,203,"148 Avenue du Président Wilson, Montreuil, France",5673,FORMATION_EMPLOI,Accueil de jour Wilson,93100,Montreuil,2.4386736000000155,48.85425769999999,"Accueil de jour, Restauration assise, Douche, Conseil administratif, Activités, Restauration assise, Restauration assise, Vêtements, Laverie, Bien-être, Accompagnement à l'emploi, Conseil logement",False,False,femme,False,français,,,93
 Formation français,formation-emploi,202,"148-150 Avenue Jean Jaurès, Pantin, France",6974,FORMATION_EMPLOI,Maison de quartier des Quatre-Chemins - antenne Diderot,93500,Pantin,2.397259399999939,48.90811659999999,"Ecrivain public, Soutien scolaire, Formation français, Activités",False,False,mixte,True,français,,,93
